rw_polid,sdo
5.5,1.5
1.5,1
4.5,4.17
4,1
1,2
3.5,1
4,3.33
1,1.33
1,1.67
1,1.33
3,4
1,1.5
1,1
5,2.33
3,1.67
3,1.67
2,1
3,1
3,2.5
4,1
1,1
3,1.83
2,2.17
1.5,1.17
5.5,4.67
4,2.17
5,1.83
4,3
5.5,2.67
2.5,1.67
5,2.5
1,1
1,1
1.5,1
2,1
3.5,1.67
3,1
2.5,1.5
4.5,3
1.5,1
5,2
4,1
4,3
7,3
1,1
3,1
6,3.5
5,2.33
6,6.67
3,1
4,3
1,1
5,1.17
4,1.83
1.5,1
4,2.17
2.5,2.17
1.5,2.33
4,5.17
5,2.67
4,1
5.5,2.67
1,1
2,1
6,2.5
5.5,3
3,2.83
4,1.33
1.5,1
5,3.83
2,4
3,1
2,3.17
4,4
5.5,3
4,1
1,3.33
5,5
1.5,2
4.5,1
4,2.67
2.5,4
2,1
4,1.5
2,1.5
5,2.67
5,1
1,1.17
1,1
3,1.33
4,1.67
3,1
5,3
4.5,3.17
6,4
1.5,1.17
4,4.83
1,2
2.5,2.67
5,4
1,1
5.5,3
4,1.33
6,7
2,1
2,1.5
5,2.83
4,2
3.5,1
4,2
1,1
1,1.33
4,1.5
3.5,2
6,2
4,6
4.5,4.67
5,4.5
4.5,1.33
2,2.5
6,3.67
1,1
5,1.17
3,2.33
5,1
1,1
4,1
5,5.83
4,1
1,1.33
5,2
2,1
3.5,1.67
7,4
5.5,2.17
4,2
4,3.5
2,1
1,1
3,3.33
1,1.17
3,1
2,1
5,1
1,2
5,4.17
1,3.5
3.5,1
4,3.33
1,1.67
1.5,1
3.5,2.17
5.5,4
1,2
4,2.17
3,3.17
2,1
3.5,3.67
1.5,2.17
3.5,1.67
4,1.67
3,1
3.5,2
1,1
4,4.17
5.5,3.67
2.5,2
3,1.67
4,1
2,1.17
2,3.17
2,1
4.5,3.5
4,4
5,1.17
